commit	train_py_sha256	val_accuracy	val_loss	status	description
c138688	c0faff0ca127a82e286a8c85f7a2cfa658d14849f488c74acbf6fe955d0f3b34	0.889400	0.453784	keep	baseline linear model
73cfa08	24e1697dd7013be60accf52d828e3f73a4cdafc56197d4e6c9ad9aa9c588cf7f	0.986400	0.042318	discard	3-block CNN with BatchNorm, max-pooling, adaptive average pooling, and linear head; AdamW
004f11e	c094609ecd5b6d2cb5a897f1b3e4bf2434546ca99e1d0a6cf4b35939825b4f26	0.988600	0.061667	keep	two-stage CNN with 32/64 conv blocks, max pooling, and 128-unit MLP head; AdamW
66e3b72	8c6b3c237f6e84e5a8c53b9cfced86928a618289b535bf2e4388b36eeb814a90	0.976800	0.075692	discard	compact residual CNN with 16/32 channels, residual blocks, and global average pooling
b077ce2	4e30fae1b09cc564428df27079aedf70767da2a3ef0c133cee12a90f02fac8df	0.989000	0.054610	discard	two-stage CNN with batch normalization in conv blocks and hidden classifier layer
7470c71	d1233e744ff81a7be835af588b535c0fa484a676808e11a5d23ca35bd5bd32a2	0.978600	0.073332	discard	widened CNN feature extractor with adaptive global average pooling classifier head
0364264	49edbf115127ed3d803b70e15c3cb1e1a7855ec9f772f5d7c3de47a89f4d0412	0.990000	0.049932	keep	three-stage CNN with batch norm, ReLU, max-pooling, and linear head
8874629	61875af9b90d198439d9b040216b2ba30a99275746ba0951adb1e51bb05b303d	0.991600	0.033548	discard	three-stage CNN with compact double-conv blocks before each pooling stage
e2c4957	13e232b4d48e39a2b9ac04c2290f7f9e8eb424b962aa67a26776945a71c5b2ec	0.989400	0.043124	discard	compact residual three-stage CNN with 1x1 shortcut projections and 32/64/96 channels
ef4d0d3	0f613eccdedfa5308cc07e5cf59b415075c1f5769aab3b7202405789edde43d6	0.992200	0.078590	keep	current winner architecture with label smoothing and warmup-plus-cosine LR schedule
43b5b7e	28c1976c0afd15a6f5c7770253d218a6cb90dbc0920d78c573176a3ed00003d7	0.994000	0.069453	keep	double-conv blocks before each pooling stage plus label smoothing and warmup-cosine schedule
194742c	00927449e32341952144f747b92520059ab8c274f7119cf4f3eec3b4cfd38f09	0.991600	0.081249	discard	higher batch size with shortened warmup/cosine schedule on current architecture
6755689	8d70e8181dee986ceb89a0d6b786fdd8e6c7e3eafd021a715eae14d79863ba67	0.991800	0.077683	discard	hybrid CNN with extra local depth in early and mid stages under current training policy
c0e1fbd	20707fd074fb62b88d1d76cb939178ecf03bf9af39c9e15aff2febc34a9135ee	0.992400	0.068909	discard	widened late block to 112 channels and classifier head to 160 units on double-conv winner
d29595e	ad019f2e42caea09c9aed6fee18805b3d62a5db905f511798acc8f280f6622b2	0.993600	0.065834	discard	double-conv backbone with learned stride-2 convolution downsampling instead of max pooling
d04b837	ea3f0a559fe9a1abc2d42e2a47475a2c392de6d7b9936422e758993720875b6b	0.994200	0.044215	keep	double-conv winner with longer warmup/cosine schedule and reduced label smoothing
1d65c74	e18b767bea3108eaf705efbd34296a90ad8dfec53d014edcec09cbf7e8370ff9	0.995000	0.045956	keep	double-conv winner with SiLU activations and unchanged training policy
77f93b2	fad3cf7164b23b77d3a94aaa0774d2ece90743fbc1beb683d80e034d752e78e4	0.993400	0.043700	discard	schedule-tuned double-conv winner with higher LR floor and longer decay
